Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Clean_Name
LINCS_L1000_Chem_Pert_down,LJP005 MCF7 3H-NVP-AUY922-3.33,4/42,2.845797085486297e-07,0.0006387391558373993,0,0,91.23569794050344,1375.1274719914072,ADH1B;TCN1;CD36;PLIN1,LJP005
LINCS_L1000_Chem_Pert_down,LJP006 HEPG2 24H-afatinib-10,5/99,1.9870243442887842e-07,0.0006387391558373993,0,0,48.06334622823984,741.687481537565,CALB1;ADH1B;CD36;ABCA8;PLIN1,LJP006
DSigDB,candesartan CTD 00002974,3/18,1.7662014912162845e-06,0.0008742697381520607,0,0,166.31666666666666,2203.143556822064,LEP;ADIPOQ;CD36,candesartan
DSigDB,bezafibrate CTD 00005506,4/92,6.784706617545478e-06,0.0016792148878425,0,0,39.298418972332016,467.684177008557,LEP;ADIPOQ;PLIN4;CD36,bezafibrate
DSigDB,dexamethasone CTD 00005779,6/421,1.707749725599168e-05,0.0028177870472386,0,0,13.465060240963856,147.81605039706187,LEP;ADIPOQ;CIDEA;AQP7;CD36;OLFM4,dexamethasone
LINCS_L1000_Chem_Pert_down,LJP009 HT29 24H-PF 573228-10,4/71,2.405339612877526e-06,0.0035991898407357,0,0,51.67034393251136,668.5015808835916,CALB1;ADH1B;ADIPOQ;PLIN1,LJP009
LINCS_L1000_Chem_Pert_down,LJP009 MCF7 24H-SYK-inhibitor-1.11,3/29,7.83115670393965e-06,0.0087885156109962,0,0,95.89903846153848,1127.523386615178,TCN1;PENK;OLFM4,LJP009
DSigDB,ramipril CTD 00007148,2/11,9.580444389134388e-05,0.0094767548888039,0,0,177.45777777777778,1642.052573193268,LEP;ADIPOQ,ramipril
DSigDB,glycerol BOSS,4/183,0.0001009623703552818,0.0094767548888039,0,0,19.231479232450813,176.94427642783168,LEP;GPD1;AQP7;PLIN1,glycerol
DSigDB,Triflumizole CTD 00002280,2/12,0.0001148697562279265,0.0094767548888039,0,0,159.704,1448.7886335131675,LEP;ADIPOQ,Triflumizole
