Gene,Structural_Importance,VAE_Shift_Magnitude,Master_Switch_Score
ADIPOQ,0.5289174,6.5780787,3.4792602
CA4,0.20876858,5.206266,1.0869048
TCN1,0.43292415,5.3824334,2.3301854
RELN,0.27584782,5.282328,1.4571187
GPD1,0.5155455,7.879196,4.062084
TMEM132C,0.47406495,6.30564,2.989283
CACNA2D1,0.47406495,5.281329,2.503693
CALB1,0.6492845,5.5451355,3.6003704
CLEC3B,0.58633006,5.4711356,3.2078912
PLIN4,0.6403649,6.2239833,3.9856203
CIDEA,0.48678744,6.329248,3.0809984
GP2,0.22252227,5.619563,1.2504779
ABCA8,0.42877704,5.496285,2.3566809
LEP,0.74947214,8.801,6.596104
OLFM4,0.43292415,5.7213407,2.4769065
AQP7,0.57216007,5.2446046,3.0007534
TH,0.47727486,7.0282044,3.3543854
CD36,0.70563406,6.562099,4.6304407
DSC3,0.50207746,5.270173,2.6460352
PENK,0.4083154,5.4319677,2.217956
DSG3,0.36008912,6.4028745,2.3056054
PI16,0.58633006,7.412971,4.346448
LYVE1,0.2102846,5.2527356,1.1045694
TRARG1,0.32029173,0.0,0.0
PLIN1,0.7148347,5.911921,4.226046
AADAC,0.17958365,5.460183,0.98055965
ADH1B,0.5102945,6.865625,3.5034907
