preferredName_A,preferredName_B,score
OLFM4,TCN1,0.677
AADAC,PLIN1,0.46
LYVE1,CD36,0.461
DSG3,DSC3,0.934
CALB1,DSC3,0.491
CALB1,PENK,0.505
CALB1,RELN,0.585
CALB1,TH,0.778
CLEC3B,PI16,0.494
AQP7,CD36,0.423
AQP7,LEP,0.451
AQP7,PLIN4,0.515
AQP7,GPD1,0.579
AQP7,ADIPOQ,0.618
AQP7,PLIN1,0.792
PLIN1,TRARG1,0.546
PLIN1,GPD1,0.584
PLIN1,CD36,0.815
PLIN1,LEP,0.846
PLIN1,ADIPOQ,0.947
PLIN1,CIDEA,0.959
PLIN1,PLIN4,0.98
CA4,LEP,0.421
GPD1,ADH1B,0.426
GPD1,PLIN4,0.428
ADH1B,ABCA8,0.514
LEP,TRARG1,0.459
LEP,PLIN4,0.463
LEP,TH,0.644
LEP,CD36,0.663
LEP,CIDEA,0.687
LEP,ADIPOQ,0.994
CIDEA,TRARG1,0.483
CIDEA,CD36,0.509
CIDEA,PLIN4,0.678
CIDEA,ADIPOQ,0.763
TRARG1,PLIN4,0.643
CACNA2D1,TMEM132C,0.437
TH,PENK,0.605
GP2,CD36,0.994
ADIPOQ,PLIN4,0.691
ADIPOQ,CD36,0.806
CD36,PLIN4,0.489
