,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
475,KEGG_2021_Human,PPAR signaling pathway,5/74,1.1249185680238612e-06,8.324397403376573e-05,0,0,32.01449275362319,438.5281159242684,ADIPOQ;PLIN4;AQP7;CD36;PLIN1
476,KEGG_2021_Human,Adipocytokine signaling pathway,3/69,0.0006858216610371124,0.0253754014583731,0,0,19.230174081237912,140.08975927188362,LEP;ADIPOQ;CD36
477,KEGG_2021_Human,ECM-receptor interaction,3/88,0.0013893445250705,0.0342704982850727,0,0,14.917396745932416,98.14040765115747,TNXB;RELN;CD36
0,GO_Biological_Process_2023,Organic Substance Transport,5/201,0.00014313556835946712,0.0517860698398586,0,0,11.198412698412698,99.12519513215402,TCN1;CACNA2D1;SLCO1B3;AQP7;ABCA8
1,GO_Biological_Process_2023,Regulation Of Cellular Extravasation,2/9,0.00021804660985203623,0.0517860698398586,0,0,118.70833333333331,1000.8064198202924,OLFM4;LYVE1
2,GO_Biological_Process_2023,Intestinal Absorption,2/11,0.000332063883264561,0.0525767815168888,0,0,92.31944444444444,739.4956618223716,LEP;CD36
478,KEGG_2021_Human,AMPK signaling pathway,3/120,0.0033620370494817,0.0540929006974166,0,0,10.819967266775777,61.62196656098476,LEP;ADIPOQ;CD36
479,KEGG_2021_Human,Tyrosine metabolism,2/36,0.0036549257227984,0.0540929006974166,0,0,24.40686274509804,136.96349152286243,TH;ADH1B
3,GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis,4/146,0.00048351422968316446,0.0574173147748757,0,0,12.129822412737294,92.6042778533321,LEP;ADIPOQ;CIDEA;CD36
480,KEGG_2021_Human,Cocaine addiction,2/49,0.0066828970303688,0.0824223967078825,0,0,17.64450354609929,88.36726791367238,TH;FOSB
