sample,Original_Cancer_Expression,Generated_Healthy_Expression,Absolute_Change
LEP,0.0,8.801,8.800999641418457
TUSC5,1.5787,9.7103195,8.13161951904297
GPD1,2.6925,10.571696,7.879196281433106
PI16,4.0356,11.448571,7.4129712051391605
HOXB13,6.7786,-0.58037424,7.358974240875244
TH,10.1706,3.1423955,7.028204503631592
ADH1B,3.6353,10.500925,6.865625064086914
TNXB,6.0854,12.754611,6.669211015319824
PADI3,10.9991,4.4151397,6.5839603248596195
ADIPOQ,4.6634,11.241479,6.57807891998291
CD36,7.8916,14.453699,6.562099111938476
DSG3,12.4785,18.881374,6.402874359130859
CMA1,0.0,6.3601236,6.360123634338379
CIDEA,0.5819,6.911148,6.329248071289062
TMEM132C,1.8007,8.10634,6.305640408325195
PLIN4,5.6913,11.915283,6.223983203125
MARCH4,7.1756,1.0532365,6.122363515472412
MASP1,1.5787,7.6376276,6.058927601623536
MRAP,0.0,5.921602,5.92160177230835
PLIN1,4.0356,9.947521,5.911921209716797
TRIML2,9.57,3.7625546,5.80744535446167
NCRNA00052,4.5456,-1.1809067,5.726506653404236
OLFM4,4.7189,10.440241,5.721340859985352
GP2,4.2765,-1.3430632,5.619563235282898
CD300LG,2.1627,7.7727036,5.610003647613525
SLCO1B3,9.2338,3.6703584,5.5634415805816655
CADM3,6.99,12.542089,5.552089462280273
CALB1,9.5337,3.9885645,5.545135508728027
COL22A1,12.0142,6.4712167,5.542983321380616
TNNT3,1.993,7.52838,5.535379917144775
PDE1C,0.9953,6.5009565,5.505656535339355
ABCA8,3.3135,8.809785,5.496284889221192
LBP,4.7459,10.239458,5.4935580841064455
CLEC3B,5.3832,10.854336,5.471135784912109
AADAC,0.0,5.460183,5.460183143615723
SCARA5,3.1616,8.602662,5.441062086486816
PENK,1.3163,6.7482677,5.431967650604248
MAGEA6,10.3069,4.9168625,5.390037512207032
TCN1,8.0075,13.389934,5.382433586120605
FOSB,8.9244,14.293312,5.368912072753906
PITX1,10.4106,5.1210427,5.289557271575928
RELN,2.9918,8.274128,5.2823279602050786
CACNA2D1,1.5787,6.860029,5.281329220581055
FHL5,1.3163,6.5880365,5.27173653717041
DSC3,9.8251,15.095273,5.2701730178833
LYVE1,6.2762,11.528935,5.252735432434082
AQP7,1.993,7.2376046,5.244604618072509
CA4,0.0,5.206266,5.206265926361084
ANGPTL7,0.0,5.176089,5.176088809967041
ASPA,0.5819,5.748434,5.166534066772461
